NLCD Value,NLCD Description,Select Service,"MIN of Constant USD, (2017)","AVERAGE of Constant USD, (2017)","MAX of Constant USD, (2017)"
11,Open Water,Aesthetic,"$10,007 ","$407,513 ","$1,409,897 "
11,Open Water,Biodiversity,$6 ,"$7,539 ","$43,978 "
11,Open Water,"Cultural, Other",$28 ,$135 ,$241 
11,Open Water,Food/Nutrition,$5 ,"$11,042 ","$75,855 "
11,Open Water,Protection from extreme events,"$1,348 ","$1,348 ","$1,348 "
11,Open Water,Raw Materials,$47 ,$47 ,$47 
11,Open Water,Recreation,$26 ,"$5,712 ","$40,590 "
11,Open Water,Renewable Energy,$96 ,$205 ,$294 
11,Open Water,Waste Assimilation,$27 ,"$3,213 ","$9,384 "
11,Open Water,Water Supply,$59 ,"$1,310 ","$3,602 "
21,"Developed, Open Space",Aesthetic,"$1,163 ","$3,836 ","$7,641 "
21,"Developed, Open Space",Air Quality,$83 ,$288 ,$492 
21,"Developed, Open Space",Climate Regulation,"$1,077 ","$1,990 ","$2,902 "
21,"Developed, Open Space",Protection from extreme events,$807 ,"$1,167 ","$1,527 "
21,"Developed, Open Space",Recreation,"$6,833 ","$6,833 ","$6,833 "
21,"Developed, Open Space",Water Supply,$19 ,$219 ,$480 
22,"Developed, Low Intensity",Climate Regulation,$435 ,$435 ,$435 
22,"Developed, Low Intensity",Water Supply,$8 ,"$4,686 ","$9,364 "
23,"Developed, Medium Intensity",Climate Regulation,$435 ,$435 ,$435 
23,"Developed, Medium Intensity",Water Supply,$8 ,"$4,686 ","$9,364 "
24,"Developed, High Intensity",Climate Regulation,$435 ,$435 ,$435 
24,"Developed, High Intensity",Water Supply,$8 ,"$4,686 ","$9,364 "
31,Barren Land,Aesthetic,$641 ,"$1,167 ","$1,692 "
31,Barren Land,"Cultural, Other",$77 ,$77 ,$77 
31,Barren Land,Protection from extreme events,"$87,459 ","$87,459 ","$87,459 "
31,Barren Land,Recreation,"$16,685 ","$8,309,314 ","$40,629,022 "
41,Deciduous Forest,Aesthetic,$790 ,$790 ,$790 
41,Deciduous Forest,Air Quality,$760 ,$760 ,$760 
41,Deciduous Forest,Biodiversity,$10 ,$12 ,$15 
41,Deciduous Forest,Climate Regulation,$40 ,$232 ,$424 
41,Deciduous Forest,"Cultural, Other",$1 ,$1 ,$1 
41,Deciduous Forest,Food/Nutrition,$652 ,$652 ,$652 
41,Deciduous Forest,Medicinal,$13 ,$13 ,$13 
