LULC Value,LULC Description,Service,Minimum Value USD (2018),Average Value USD (2018),Maximum Value USD (2018)
1,Temperate or sub-polar needleleaf forest,Biodiversity,0.05,12.34,23.94
1,Temperate or sub-polar needleleaf forest,Climate Regulation,3.51,687.74,"3,462.13"
1,Temperate or sub-polar needleleaf forest,Extreme Events,7.95,7.95,7.95
1,Temperate or sub-polar needleleaf forest,Food/Nutrition,0.35,326.35,652.34
1,Temperate or sub-polar needleleaf forest,Raw materials,65.88,65.88,65.88
1,Temperate or sub-polar needleleaf forest,Recreation,1.23,1.23,1.23
1,Temperate or sub-polar needleleaf forest,Waste Assimilation,0.08,0.08,0.08
1,Temperate or sub-polar needleleaf forest,Water Supply,0.08,"1,175.69","2,351.29"
3,Tropical or sub-tropical broadleaf evergreen forest,Biodiversity,10.56,56.61,189.95
3,Tropical or sub-tropical broadleaf evergreen forest,Climate Regulation,202.51,202.51,202.51
3,Tropical or sub-tropical broadleaf evergreen forest,Erosion Control,43.75,"1,461.25","2,878.75"
3,Tropical or sub-tropical broadleaf evergreen forest,Food/Nutrition,0.58,226.87,668.27
3,Tropical or sub-tropical broadleaf evergreen forest,Pollination,175.47,175.47,175.47
3,Tropical or sub-tropical broadleaf evergreen forest,Protection from extreme events,38.97,38.97,38.97
3,Tropical or sub-tropical broadleaf evergreen forest,Raw materials,52.65,108.10,163.55
3,Tropical or sub-tropical broadleaf evergreen forest,Recreation,0.00,437.52,"2,373.27"
3,Tropical or sub-tropical broadleaf evergreen forest,Soil Formation,27.12,27.12,27.12
3,Tropical or sub-tropical broadleaf evergreen forest,Waste Assimilation,0.48,745.40,"1,490.31"
3,Tropical or sub-tropical broadleaf evergreen forest,Water Supply,31.84,31.84,31.84
4,Tropical or sub-tropical broadleaf deciduous forest,Biodiversity,10.56,56.61,189.95
4,Tropical or sub-tropical broadleaf deciduous forest,Climate Regulation,202.51,202.51,202.51
4,Tropical or sub-tropical broadleaf deciduous forest,Erosion Control,43.75,"1,461.25","2,878.75"
4,Tropical or sub-tropical broadleaf deciduous forest,Food/Nutrition,0.58,226.87,668.27
4,Tropical or sub-tropical broadleaf deciduous forest,Pollination,175.47,175.47,175.47
4,Tropical or sub-tropical broadleaf deciduous forest,Protection from extreme events,38.97,38.97,38.97
4,Tropical or sub-tropical broadleaf deciduous forest,Raw materials,52.65,108.10,163.55
4,Tropical or sub-tropical broadleaf deciduous forest,Recreation,0.00,437.52,"2,373.27"
4,Tropical or sub-tropical broadleaf deciduous forest,Soil Formation,27.12,27.12,27.12
4,Tropical or sub-tropical broadleaf deciduous forest,Waste Assimilation,0.48,745.40,"1,490.31"
4,Tropical or sub-tropical broadleaf deciduous forest,Water Supply,31.84,31.84,31.84
5,Temperate or sub-polar broadleaf deciduous forest,Biodiversity,10.31,11.90,15.07
5,Temperate or sub-polar broadleaf deciduous forest,Climate Regulation,39.54,231.74,423.93
5,Temperate or sub-polar broadleaf deciduous forest,Extreme Events,7.95,7.95,7.95
5,Temperate or sub-polar broadleaf deciduous forest,Food/Nutrition,652.34,652.34,652.34
5,Temperate or sub-polar broadleaf deciduous forest,Recreation,1.23,1.23,1.23
5,Temperate or sub-polar broadleaf deciduous forest,Waste Assimilation,0.08,0.08,0.08
5,Temperate or sub-polar broadleaf deciduous forest,Water Supply,"2,351.29","2,351.29","2,351.29"
6,Mixed forest,Aesthetic,158.13,"7,693.03","46,417.49"
6,Mixed forest,Air Quality,1.56,174.06,574.09
6,Mixed forest,Biodiversity,1.69,756.52,"6,263.23"
6,Mixed forest,Climate Regulation,8.39,272.26,828.38
6,Mixed forest,Erosion Control,7.91,50.13,92.34
6,Mixed forest,Extreme Events,7.95,7.95,7.95
6,Mixed forest,Food/Nutrition,"6,192.73","6,192.73","6,192.73"
6,Mixed forest,Pollination,3.61,82.41,225.43
6,Mixed forest,Protection from extreme events,798.99,"1,419.93","2,040.86"
6,Mixed forest,Raw materials,426.81,426.81,426.81
6,Mixed forest,Recreation,1.23,193.15,"1,289.43"
6,Mixed forest,Soil Formation,51.10,51.10,51.10
