NLCD Value,Select service,"MIN of Constant USD, (2017)","AVERAGE of Constant USD, (2017)"
52,Aesthetic,733.52,733.52
52,BioControl,160.25,160.25
52,Climate,368.55,368.55
52,Cultural service [general],12.98,"1,082.27"
52,Erosion,875.93,875.93
52,Extreme events,281.58,281.58
52,Food,0.67,0.67
999,Genepool,0.01,792.39
52,Medical,0.32,0.32
52,Provisioning service [general],26.16,26.16
52,Recreation,"1,208.79","2,911.87"
52,Water,84.08,"2,275.94"
71,Aesthetic,42.84,"3,100.87"
71,BioControl,38.93,282.59
71,Climate,0.08,79.71
71,Erosion,44.72,"11,162.45"
71,Extreme events,156.77,"5,028.73"
71,Food,94.34,94.34
71,Genepool,15.07,15.07
71,Genetic,0.02,0.02
71,Pollination,41.52,41.52
71,Raw materials,29.31,"49,915,131.91"
71,Recreation,0.72,"12,501.54"
71,Soil fertility,9.08,9.08
71,Waste,12,"13,730.31"
71,Water,35.56,35.56
71,Water flows,6.49,6.49
81,Aesthetic,261.94,280.15
81,Food,57.2,57.2
82,Aesthetic,89.56,"19,645.35"
82,Air quality,93.6,248.06
82,BioControl,36.78,200.03
82,Climate,1.07,129.83
82,Erosion,69.88,127.76
82,Food,37.44,"5,882.94"
82,Genepool,132.91,"1,068.04"
82,Pollination,25.95,"1,317.30"
82,Raw materials,18.72,133.39
82,Recreation,1.88,38.36
82,Soil fertility,18.63,283.6
82,Waste,245.25,296.9
82,Water,112.34,243.39
90,Aesthetic,61.7,"8,019.01"
90,Air quality,193.17,260.31
90,BioControl,160.25,160.25
90,Climate,2.25,"1,625.27"
90,Cultural service [general],12.98,"2,025.66"
90,Erosion,114.35,524.19
90,Extreme events,43.6,"25,224.04"
90,Food,0.01,"1,610.16"
90,Genepool,4.06,"1,338.25"
90,Inspiration,937.45,937.45
90,Medical,2.66,16.19
90,Non-Use Preservation,935.51,935.51
90,Nursery,58.07,"7,718.97"
90,Ornamental,5.99,5.99
90,Provisioning service [general],26.16,"1,180.68"
90,Raw materials,0.01,219.45
90,Recreation,9.75,"7,508.82"
90,Soil fertility,320.13,"2,872.68"
90,Soil Formation,"1,352.55","1,352.55"
90,Waste,49.51,"18,103.26"
90,Water,84.08,"136,439.58"
90,Water flows,"10,031.34","10,554.59"
95,,58.36,58.36
95,Aesthetic,61.7,"8,579.43"
95,Air Quality,193.17,221.98
95,BioControl,18.67,18.67
95,Climate,2.25,"180,519.24"
95,Cultural service [general],577.44,"2,996.33"
95,Erosion,104.88,"4,592.81"
95,Extreme events,2.68,"19,357.20"
95,Food,0,"1,330.66"
95,Genepool,0.18,"5,829.32"
95,Genetic,10.47,12.04
95,Inspiration,703.16,820.31
95,Medical,0.19,27.72
95,Non-Use Preservation,935.51,935.51
95,Nursery,4.14,689.11
95,Ornamental,5.99,5.99
95,Pollination,20.29,20.29
95,Provisioning service [general],87.6,87.6
95,Raw materials,0,307.41
95,Recreation,0.37,"13,440.83"
95,Regulating service [general],"466,819.44","466,819.44"
95,Soil fertility,3.71,"699,885.42"
95,Soil Formation,"1,352.55","1,352.55"
95,Waste,5,"50,299.83"
95,Water,0.18,"65,644.20"
95,Water flows,587.89,"6,379.48"
